Year,Seed,FK,FKS,AAWCE
2000,0,0.8728358286165144,0.11690336325543754,0.00809257080122
2000,1,0.8734964584078173,0.11934173708880139,0.00854649780183
2000,2,0.873131087676887,0.11474330905881518,0.00800171295167
2000,3,0.8727405282094406,0.11321322190594697,0.0081533794273
2000,4,0.8736321232721963,0.12208480425659496,0.00822230963449
2000,5,0.873307467299632,0.11909370110708885,0.00792999469373
2000,6,0.8733574954581853,0.11978642768334949,0.00878512363099
2000,7,0.8734408809514451,0.11924342211832972,0.00820002331896
2000,8,0.87374260469145,0.12073402397557505,0.00816997887637
2000,9,0.8731870743545055,0.11770977422238109,0.00826414330426
2000,10,0.8728282298479044,0.11834472915232218,0.00836665776269
2000,11,0.8736044034954026,0.11974597008538725,0.00849940469451
2000,12,0.8733638945809683,0.11983724272019924,0.00775693696594
2000,13,0.8731400409086827,0.12094259361872431,0.00835122112753
2000,14,0.8727628201501887,0.120157397812672,0.00844524076103
2000,15,0.873225345109123,0.11985382158543775,0.00819827606466
2000,16,0.8733071974956074,0.11740390233741867,0.00828055044104
2000,17,0.8727278810413478,0.11570811960698445,0.0081870628816
2000,18,0.8739857534390003,0.12120332160253863,0.00843864606832
2000,19,0.8734047282734999,0.11916643061467114,0.00848826277564
2000,20,0.8730957169377658,0.11582216091443057,0.00889814368968
2000,21,0.8728087467222045,0.11605141257966758,0.00877419286875
2000,22,0.8729544355953267,0.1184366365232369,0.00854670845439
2000,23,0.8732337800461127,0.11748366866060474,0.00820349889665
2000,24,0.8735212979350565,0.12301890661664922,0.0085458175423
2000,25,0.8732194114209295,0.11427303873409841,0.00743234504853
2000,26,0.8731129555207175,0.11465617385692768,0.00804603295403
2000,27,0.8737731266957066,0.12124398009886511,0.00846966689815
2000,28,0.872935851425596,0.11587440896928397,0.00767990537052
2000,29,0.8731756677907333,0.11889199226998988,0.00837493549087
2000,30,0.8732127426308505,0.11918606553772718,0.00835206988928
2000,31,0.873439415812073,0.11985483529633002,0.00804292833244
2000,32,0.873330426447536,0.1198209936351532,0.00819352906533
2000,33,0.8733904075639105,0.11838158881433228,0.0081942436623
2000,34,0.8726681443581646,0.11889728084859374,0.00838924179496
2000,35,0.8731303612418458,0.1160272794407028,0.00813062173501
2000,36,0.8735995035155956,0.11980444827392822,0.00840054532223
2000,37,0.8729137644987818,0.11644045095841986,0.00799150083435
2000,38,0.8726672721052445,0.11497300968154593,0.00759458610913
2000,39,0.8730031460731589,0.11791842059594453,0.00854533459174
2000,40,0.8739924602815071,0.12132577006463804,0.00787027432111
2000,41,0.873266065299703,0.12169337752696609,0.00826404064346
2000,42,0.8724585173180962,0.11403800551025652,0.0086874795293
2000,43,0.8727063356509936,0.1176812482322959,0.00804029848357
2000,44,0.8730684363288218,0.11718917611014164,0.00824281566886
2000,45,0.8728189205071333,0.11646537207903987,0.00764457233951
2000,46,0.8738879464211766,0.12369054787565313,0.00849447083839
2000,47,0.8730508409328689,0.11720562823808311,0.00853144954892
2000,48,0.8734738434085804,0.1176611580415421,0.00864607384093
2000,49,0.8735352598015725,0.11745838180123279,0.00775712046793
2006,0,0.8738073508663015,0.06322825014547877,0.0182012115306
2006,1,0.8739455267725698,0.06263685355268557,0.0183659567725
2006,2,0.87437414195335,0.06522357825830011,0.0183296216685
2006,3,0.8737352737606906,0.06439054116133414,0.0181185278665
2006,4,0.8744624885572272,0.06829101671784583,0.0188448521858
2006,5,0.8738860843302757,0.06067655257900229,0.018330751915
2006,6,0.87367806570733,0.059870198069521305,0.0185112448345
2006,7,0.8746579418553645,0.06635991314395809,0.0186994194147
2006,8,0.8749426086484752,0.06802054863788426,0.0178156804597
2006,9,0.8740526471600416,0.062192054969226425,0.0183722281735
2006,10,0.8742851467422393,0.06589345801225552,0.0179675445856
2006,11,0.8741291740554783,0.06339888450470214,0.0187538530203
2006,12,0.8736818062482976,0.06274138098789504,0.0177611274419
2006,13,0.8746151721580214,0.06506770548680883,0.0181566004904
2006,14,0.8740407359528929,0.06748114519816843,0.0182669810339
2006,15,0.8740055433038962,0.06350302907097331,0.0185525741298
2006,16,0.8741175549053646,0.06260550406759889,0.0180919021408
2006,17,0.873596134145514,0.059112596641579425,0.0186079746992
2006,18,0.8746555588494324,0.06682161832141748,0.0184539670998
2006,19,0.8742655457109384,0.06650991942350275,0.0184428225462
2006,20,0.8733145786762451,0.06317899917858308,0.0192657733718
2006,21,0.8746593320405132,0.06853201150845442,0.0180750262828
2006,22,0.8743543672986072,0.06701541342543232,0.0184692312776
2006,23,0.8744098828476481,0.06423274258413923,0.0186510738517
2006,24,0.8737826081320151,0.06593753136703517,0.0184806070597
2006,25,0.874019732993502,0.06303214523033986,0.0182205485773
2006,26,0.8747956142745074,0.07073460180990644,0.0179602049999
2006,27,0.874570558905099,0.0658484595191694,0.0186655069537
2006,28,0.8739996011822678,0.061848563064369345,0.0180921232221
2006,29,0.8740143813098722,0.06150742886711757,0.018474467023
2006,30,0.8738331844972371,0.06325317679584987,0.0182308723708
2006,31,0.8738100368982921,0.06137874558017347,0.0178038569179
2006,32,0.8740883498138268,0.06101309728384821,0.0191834425411
2006,33,0.8739163448675104,0.061551564926974035,0.0180816696865
2006,34,0.8732940490622355,0.05587229504615989,0.0184880678108
2006,35,0.8738504799696323,0.06305052059158812,0.0189808877998
2006,36,0.8744918538992219,0.06512547899705326,0.017990157785
2006,37,0.8743506334759673,0.06507394700680545,0.0185376173107
2006,38,0.8739356168425246,0.06119336151427542,0.0178595674326
2006,39,0.8742106922819471,0.06707455603075745,0.0180697269096
2006,40,0.8737100100079922,0.059759816505470666,0.0185008481913
2006,41,0.8742507106738063,0.06485247805174969,0.0187562551008
2006,42,0.874731194274664,0.0676042289408944,0.0186915215642
2006,43,0.8740576119329215,0.06528380539023897,0.0186464792141
2006,44,0.8743345051955413,0.06667260786328139,0.0181708769223
2006,45,0.8744074363984443,0.0641008165225425,0.01843218814
2006,46,0.8746151804716595,0.06753937664417346,0.0187458431436
2006,47,0.8740459707548414,0.06388312246123601,0.0184720907339
2006,48,0.8740237806579932,0.0639010658584048,0.01849614017
2006,49,0.8738537279536439,0.05981305109182289,0.0185763753235
