theta_cp,FK,FKS,CLU
0.0,0.9357959098846987,0.00820443654046467,0.00409578280186
0.0025,0.9361121411060178,0.007985526329791215,0.00398092109814
0.005,0.9359910670114623,0.008123497586871442,0.0039100603731
0.0075000000000000015,0.936297979363333,0.00854465986420463,0.00402766855316
0.01,0.9367222274264078,0.008395734148497284,0.00411620893164
0.0125,0.9367968318480236,0.008671130489226525,0.00402968206529
0.015000000000000003,0.9370334597802944,0.008258012446887284,0.00387759092738
0.0175,0.9371240702867826,0.0076478953817225755,0.00373357145838
0.02,0.9374569381794499,0.008039789683775235,0.00369728449525
0.0225,0.9374642151895505,0.008031727366504421,0.00352399041826
0.025,0.9377027378354014,0.008833439546281113,0.00342336213281
0.027500000000000004,0.9378505671319736,0.009266799979921261,0.00334037518818
0.030000000000000006,0.9377568760869384,0.007928979863155319,0.00302154935742
0.0325,0.9378692480268395,0.00814379466496694,0.00296174606132
0.035,0.9377611154393573,0.007603244300416479,0.00288483026976
0.0375,0.9376607190252496,0.007466872708097147,0.00290241319812
0.04,0.9378284433809791,0.007868505679035529,0.00286800160791
0.0425,0.9379323383396713,0.00926852618462374,0.00289680656107
0.045,0.9379169201063987,0.009218480681739322,0.0028932708698
0.0475,0.9378707864519561,0.008425855473641292,0.00295264145424
0.05,0.9379885230885562,0.009285473119655257,0.00306314798647
