theta_st,FK,FKS,CLU
0.0,0.9392500622248005,0.00020026477062123996,0.018488093586
0.005,0.939578928808086,0.0018921270623810718,0.0144268764164
0.01,0.9394476653236916,0.0052711994627839326,0.0100217487946
0.015000000000000003,0.9388435857637543,0.005683130202791075,0.00644082851626
0.02,0.9386108013846519,0.005463992373624519,0.00398606377202
0.025,0.9383969109394396,0.006273294022678461,0.0019345176701
0.030000000000000006,0.9383314065613402,0.008589639873064561,0.00174503343079
0.035,0.9380937981314472,0.00969944490863334,0.00246828854549
0.04,0.9377027378354014,0.008833439546281113,0.00342336213281
0.045,0.9374435230269691,0.00795134096575582,0.00412261702222
0.05,0.9373997339030128,0.009538517996104275,0.00471877831657
0.05500000000000001,0.9372833526847816,0.012471885075602441,0.00508008378259
0.06000000000000001,0.9374013382256897,0.015217102749552638,0.00557887704006
0.065,0.9369329298044488,0.014657839051086582,0.00582552622909
0.07,0.9369960775416059,0.018536161771640584,0.00643102937418
0.075,0.9370019930273599,0.01978277887840106,0.00708602601221
0.08,0.9370849272693287,0.023715370977215437,0.00793666018065
0.085,0.9370535166122995,0.025788595035952575,0.00842274914573
0.09,0.9367209381388077,0.02703848511579029,0.00913350908195
0.095,0.9370791591845472,0.030511871439714074,0.00978041714504
0.1,0.9369825469735045,0.03243615630783486,0.010638412911
