theta_cp,FK,FKS,CLU
0.0,0.9354087113204049,0.02470387562635432,0.0099669161251
0.0025,0.9355119984495905,0.02527838940979371,0.0101179032414
0.005,0.9355765049278476,0.02504468188291793,0.0101870314746
0.0075000000000000015,0.9357339072604538,0.02514796054610734,0.0102396406715
0.01,0.9359539973007394,0.02739305256774664,0.0102701515793
0.0125,0.9362061661336033,0.02829234515779021,0.0102760076707
0.015000000000000003,0.9365044401589965,0.030934196590704,0.0102466332071
0.0175,0.9365511556677917,0.031137207181440075,0.0103421553674
0.02,0.9364766480425358,0.030402724130808176,0.0103371385027
0.0225,0.9365906243998434,0.03138537586204734,0.0105357336188
0.025,0.9369690762356141,0.03230814756701688,0.0106431609434
0.027500000000000004,0.9370830253410944,0.03306471411575271,0.0106847216234
0.030000000000000006,0.9372171700467582,0.0330423337435914,0.0108036798201
0.0325,0.9373074116993008,0.0327140476938725,0.0109721538355
0.035,0.9376149371576228,0.03455642527999406,0.0110609909779
0.0375,0.9377574486901571,0.035863748422254524,0.0111378384012
0.04,0.9378286184194039,0.03700189445925634,0.0113976475473
0.0425,0.9378623350204216,0.03593330703045845,0.0116981050157
0.045,0.9380872809966819,0.037672072177107226,0.0119842624725
0.0475,0.9382847198318567,0.03971643882138612,0.0121394012047
0.05,0.9385379563444747,0.04177912004200687,0.0121782225552
