theta_cp,FK,FKS,CLU
0.0,0.8898980067046411,0.12331375928121228,0.0101741558857
0.0025,0.8899687810212615,0.12368494246634867,0.0101488861659
0.005,0.8900817293116912,0.12413340634532433,0.0101002083148
0.0075000000000000015,0.8901805739292928,0.12457534047837808,0.0100527728171
0.01,0.8902958460662201,0.12510743115406459,0.0100099470472
0.0125,0.8903523407738136,0.12523135565074234,0.00996351814281
0.015000000000000003,0.8904257402057436,0.12558372133239198,0.00993692419242
0.0175,0.890467076936894,0.12546730181983828,0.00988799887806
0.02,0.8904887589233679,0.1255467228134172,0.00978366554501
0.0225,0.8905132071817208,0.12559068959837658,0.00967246410311
0.025,0.8905328565534077,0.1256631717704603,0.00952974837453
0.027500000000000004,0.8906068348926632,0.12571369128991966,0.00937332305607
0.030000000000000006,0.890683430937389,0.12605178495822206,0.00915511219747
0.0325,0.8906749516620668,0.12582955276696917,0.00894023004639
0.035,0.8906772111671962,0.12592718912040216,0.00869661694957
0.0375,0.8906348853836015,0.12618792100687154,0.00837520835012
0.04,0.8905463305360591,0.12626005150125494,0.00806102281553
0.0425,0.8904304767860489,0.12619443693656124,0.00770618814524
0.045,0.8902582943332525,0.12605320141955217,0.00729726865531
0.0475,0.8900349378141821,0.12614454063385167,0.00686437987981
0.05,0.8896733300379344,0.1260280407727653,0.0066406241363
