theta_it,FK,FKS,CLU
0.0,0.8886541665840211,0.12475571988442061,0.00946974170987
0.001,0.8887985105119525,0.12462193137318926,0.0088405715209
0.002,0.8890043875116473,0.125166800329942,0.0082295372499
0.003,0.8891507149776687,0.12513729455223915,0.00754272013495
0.004,0.8893766641333487,0.12537056180811623,0.00686040428614
0.005,0.8896733300379344,0.1260280407727653,0.0066406241363
0.006,0.8898450471043853,0.12597426736309958,0.00695725379938
0.007000000000000001,0.8900192091083167,0.12567533871945186,0.00737817778353
0.008,0.8902125362247988,0.1256420716238493,0.00774618312398
0.009,0.8904004726827102,0.12567095687095398,0.0081234293283
0.01,0.8905677032075383,0.12543858657215382,0.00847344468237
0.011,0.8906448421664062,0.124972008402719,0.00888079586215
0.012,0.8908007103997508,0.12469766284184099,0.00925190938102
0.013000000000000001,0.8908381314754525,0.12423843531872736,0.00958437776028
0.014000000000000002,0.8907667688353559,0.12342901604968462,0.00988129293593
0.015,0.8907473002451081,0.12265987508189766,0.0104171486096
0.016,0.8905573384516454,0.12144079296073562,0.0115063004307
0.017,0.8902928478067086,0.1200606057692902,0.0126435178555
0.018,0.8899268991748235,0.11844799244443967,0.013876552157
0.019,0.8893926237310203,0.11655479425550996,0.015092505141
0.02,0.8887522110759741,0.1143207194869452,0.016419401228
