Theta_st,Theta_cp,Theta_it,FK,FKS,CLU
0.07154012,0.017877443,0.00376365,0.936575325,0.019179472,0.006633368
0.083401176,0.016248613,0.00256876,0.936231201,0.021092565,0.008307438
0.008822091,0.144205451,0.001879417,0.938562557,0.006568051,0.028280899
0.086494258,0.238989512,0.024973105,0.826480644,0.014285596,0.100471509
0.133182976,0.18510163,0.009690363,0.90946162,0.05982761,0.015918709
0.124147478,0.060071558,0.039748451,0.94008917,0.064644958,0.01299135
0.167345048,0.025511625,0.036539739,0.932626591,0.059135627,0.019130522
0.11165934,0.161978659,0.030874568,0.906141641,0.049822621,0.016991575
0.085311453,0.229810999,0.025367442,0.833926322,0.013274803,0.095298443
0.176320326,0.014057243,0.023112646,0.930447283,0.048072695,0.021035528
0.204128884,0.197630621,0.016117863,0.88483272,0.055142615,0.035260119
0.180934358,0.125190669,0.03676896,0.909904306,0.060342773,0.023874182
0.127885284,0.208584522,0.04606907,0.834630419,0.021214732,0.066679853
