theta_st,FK,FKS,CLU
0.0,0.9083222213982454,-0.030435305489955718,0.0288222506726
0.005,0.9104086267111736,-0.013457269027832333,0.0231165196336
0.01,0.9135108101977194,0.014476690010985001,0.0161466011985
0.015000000000000003,0.9160151923208628,0.04402659619706553,0.00950566182671
0.02,0.9171308067108602,0.06410874063700638,0.00858846213444
0.025,0.9170049679591987,0.06897846666418794,0.00858977490426
0.030000000000000006,0.9168701978033158,0.07299714876266977,0.0105225514921
0.035,0.9166897512120314,0.07400525557185766,0.0127099653771
0.04,0.9166883349287697,0.07562022243800268,0.0143211198021
0.045,0.9165216593114045,0.07621919267758705,0.0156916582156
0.05,0.9161385754660817,0.07545492143764478,0.0170897918439
0.05500000000000001,0.915707735084496,0.07541498998356046,0.0187437663123
0.06000000000000001,0.9150488963872265,0.076007044144262,0.0202032562377
0.065,0.9141355136634016,0.07531865263802305,0.0217262870618
0.07,0.9132488396270144,0.07643913135411644,0.0235628652671
0.075,0.9113599872896468,0.07462482412899446,0.0257426673283
0.08,0.9095714761724082,0.07350412016585542,0.0278197893605
0.085,0.9075683929321801,0.07429765957384905,0.0301130423413
0.09,0.9057856192533768,0.07478830858839663,0.032300342717
0.095,0.9036359241020537,0.07230686918140168,0.0341050850881
0.1,0.901601320090061,0.07201612860909859,0.0360638820611
