theta_it,FK,FKS,CLU
0.0,0.9188745781750473,0.07794482062643249,0.0106735869373
0.001,0.9189659551149642,0.07820656327410516,0.0101290230372
0.002,0.9189024103387392,0.07763459179362633,0.00960862771402
0.003,0.918986804728013,0.077867645866919,0.00907164998714
0.004,0.918742791507502,0.07544548774486304,0.00848785150104
0.005,0.9185628977749316,0.07350312271409168,0.00790481524074
0.006,0.9183909543193521,0.07186421701513304,0.00723408068192
0.007000000000000001,0.9178981397811997,0.06596411508220289,0.00621420544057
0.008,0.9175535362093825,0.062097069914806825,0.00526743979134
0.009,0.9168165096671586,0.05498384842112829,0.00430417534962
0.01,0.916223004113913,0.04809741479801359,0.00347589790137
0.011,0.915676512839279,0.04269688483994782,0.00291425630956
0.012,0.9149666480401757,0.035829662272252115,0.00259335172473
0.013000000000000001,0.9144069565506583,0.029457276062561447,0.00307332690597
0.014000000000000002,0.9139227353404588,0.025224472066136202,0.00356296478285
0.015,0.913486264080484,0.021452120570130757,0.00390940652319
0.016,0.9130129124908476,0.01720802040403228,0.0040396170953
0.017,0.9127939853583042,0.015873616787958494,0.00449502488228
0.018,0.9122654315726074,0.01129140842688999,0.00542685831165
0.019,0.9119267968876428,0.009517761888880153,0.00642084403507
0.02,0.9116888473378568,0.009306125676906371,0.00727341388178
