theta_it,FK,FKS,CLU
0.0,0.8680811333228098,0.06563106613837388,0.0297244285865
0.001,0.8677474726817884,0.0666981750933999,0.0297780935507
0.002,0.8675503173742856,0.06857854491903302,0.0297572551733
0.003,0.8674517314248937,0.07051628858180711,0.0295878150984
0.004,0.8673152967193019,0.07240123597342228,0.0293728778806
0.005,0.8670513081221058,0.07465057542583203,0.0291245975171
0.006,0.8665334401403527,0.07562617582911864,0.0288136430311
0.007000000000000001,0.8661710502912852,0.0788282815577432,0.0284615842234
0.008,0.8654605111565308,0.08209022225184473,0.0279194997107
0.009,0.8643706839151839,0.08549237631646309,0.0272197609058
0.01,0.8630280630997195,0.0905949196841137,0.0263623842864
0.011,0.8611060730579618,0.09361009250485162,0.0255435332224
0.012,0.8587752130616412,0.09558920874007855,0.0247446271901
0.013000000000000001,0.8561096657658507,0.09473122824438393,0.0240696191337
0.014000000000000002,0.8537240186724782,0.09347639066241661,0.0235622539839
0.015,0.8512594618525787,0.09051151331484382,0.0230730591429
0.016,0.8491589239366807,0.08812451898967204,0.022494653026
0.017,0.8473531673735307,0.08566519395526083,0.0220635733545
0.018,0.8457261393047254,0.08350099974622915,0.0216255050001
0.019,0.8444084331871249,0.08195198487605318,0.0212389114638
0.02,0.8432186547095117,0.08068517259839705,0.020749073941
