theta_st,FK,FKS,CLU
0.0,0.8773473616917963,-0.004026051331984152,0.0362192179179
0.005,0.8785447086024563,0.008982265212178665,0.0273357425143
0.01,0.8786284600511236,0.015657464326616,0.018266379894
0.015000000000000003,0.8780907152388211,0.017153391268401194,0.0134127646093
0.02,0.8774264742584481,0.01791590942858213,0.0100603066201
0.025,0.8767983163391613,0.018373750610731363,0.0073537827852
0.030000000000000006,0.8762230514067608,0.018602276621369814,0.00705168792455
0.035,0.8759823974389246,0.021274100055384777,0.00815978004731
0.04,0.8757047106394156,0.024475714242004763,0.00983484675571
0.045,0.8753578767529218,0.028125155406983886,0.0116673912215
0.05,0.8748596336984911,0.03280073379775422,0.0138793391257
0.05500000000000001,0.8741482526609963,0.038265370073348196,0.0161985978451
0.06000000000000001,0.8732883358082175,0.043779581279871,0.0185910931686
0.065,0.872227897226554,0.049655775431476444,0.0211882942638
0.07,0.8711628310318629,0.05545288964732037,0.0238973958927
0.075,0.869739124896127,0.0600505845445516,0.0265997408695
0.08,0.8681978981922963,0.06445933776304492,0.0293518341665
0.085,0.8663913948667806,0.06756317541824645,0.0320185098685
0.09,0.864567335462459,0.07049693134072509,0.0346516834147
0.095,0.8625170042394907,0.07222105867930496,0.0371740402736
0.1,0.860293375451181,0.0733648744850099,0.0397489276006
