theta_st,FK,FKS,CLU
0.0,0.8769529440271044,-0.0075386669827855485,0.0366689738484
0.005,0.877892715991655,0.003936016992843817,0.0276813776639
0.01,0.8777808539632176,0.008322836266388408,0.0185193291524
0.015000000000000003,0.8774812772269831,0.012437846081818289,0.0135971053164
0.02,0.8768204744375111,0.014181052457456315,0.0103776923438
0.025,0.876370399276029,0.01587631760892555,0.00727985202427
0.030000000000000006,0.8757335825453438,0.014900201625549678,0.00729062379037
0.035,0.875280320731944,0.01541626051951049,0.00806584047288
0.04,0.8753598444146713,0.02109463875315496,0.00971242772631
0.045,0.87459364371344,0.023122352932758293,0.0115022775141
0.05,0.8742128522361475,0.02773817718411166,0.0139698407592
0.05500000000000001,0.8737129634557222,0.033593196405050756,0.0162557653549
0.06000000000000001,0.8728679993934235,0.040013691381109634,0.0182433470592
0.065,0.8724567971847805,0.04975305840586867,0.0207216352905
0.07,0.8711539525489869,0.05422489687191191,0.0233474066365
0.075,0.8695364128451226,0.058279859447894204,0.0261745583432
0.08,0.8677707312929264,0.06347585208706025,0.029227200041
0.085,0.8659899325554437,0.0659322818344137,0.0317725562398
0.09,0.863711326474356,0.06704238023652925,0.0349767657977
0.095,0.8614089707160913,0.06896989853460789,0.0377409011359
0.1,0.8592888025277141,0.07157811122287457,0.0401696870837
