theta_it,FK,FKS,CLU
0.0,0.8694887517608358,0.05879465929963299,0.0260894298279
0.001,0.869546317984926,0.05990349845943779,0.0259556043008
0.002,0.869523219879045,0.061302899526904556,0.025693035773
0.003,0.8693454558543904,0.061734617971123715,0.0254366544304
0.004,0.8695339573844542,0.06328607542523934,0.0252478570537
0.005,0.8695171759231559,0.0669396234502234,0.0250900974609
0.006,0.8689625462495687,0.06717616867828048,0.0246212120856
0.007000000000000001,0.8685845376405438,0.06934584536498212,0.0244023321426
0.008,0.8678134298251513,0.07166617685257438,0.0237706412097
0.009,0.8666983699280282,0.07604976817723641,0.0230372071181
0.01,0.8652345296458324,0.07975445287303644,0.0220159198118
0.011,0.8635644837416084,0.08652825690021342,0.0211654214654
0.012,0.8617226454439506,0.09095975593255386,0.0204093946269
0.013000000000000001,0.8590476491090494,0.09022084648090802,0.0197399789178
0.014000000000000002,0.8563420142017433,0.08833622954847009,0.0191961040722
0.015,0.8538778984820405,0.08555355027062815,0.0184928305868
0.016,0.8519513497642899,0.0827646502434991,0.0181553294531
0.017,0.8496424078278336,0.07926149291481188,0.0176826402796
0.018,0.848281623408685,0.07937827073292776,0.0171348784185
0.019,0.8471942829885429,0.07878601759652233,0.0168150672512
0.02,0.8454749851055358,0.07590259671622904,0.0162648937841
