theta_cp,FK,FKS,CLU
0.0,0.8715890363662153,0.029147718304332763,0.0177993921952
0.0025,0.8718484623107455,0.030558628894450424,0.0180229659696
0.005,0.871960505458937,0.03198604685228327,0.01809769645
0.0075000000000000015,0.8718722319925862,0.03365439190332021,0.0184599336378
0.01,0.8719430108642526,0.03562971019675709,0.0187051146902
0.0125,0.8721211033776635,0.0375431604667734,0.0189486785035
0.015000000000000003,0.8722296664976146,0.03993227879835841,0.0192166955071
0.0175,0.8722640083472598,0.04147574842571644,0.0194632316096
0.02,0.8724037076472309,0.04340649179906334,0.0198408608941
0.0225,0.8724713864933399,0.04634217372451901,0.0202067289842
0.025,0.8724567971847805,0.04975305840586867,0.0207216352905
0.027500000000000004,0.8721635804524402,0.050673719256632645,0.021299311135
0.030000000000000006,0.8718156345412825,0.05239409161755205,0.0217125698669
0.0325,0.8714847218889822,0.0538000968141142,0.0221905728368
0.035,0.8713808261371616,0.0568992061083612,0.0224992198731
0.0375,0.8710052615803437,0.05867874989193806,0.0228322708146
0.04,0.8705484214854624,0.058641569385410125,0.0233954608206
0.0425,0.8706137338185622,0.062404649069929485,0.023890362345
0.045,0.8701587579305632,0.0643236626334182,0.0245097957101
0.0475,0.8695171759231559,0.0669396234502234,0.0250900974609
0.05,0.8685603169471658,0.06621795405665305,0.0255577759865
