theta_st,FK,FKS,CLU
0.0,0.8920526089486458,0.0011297176667339893,0.060142675998
0.005,0.8940754149528696,0.024610550096852615,0.0531573491241
0.01,0.8981760409999847,0.08576788876366714,0.0399170467369
0.015000000000000003,0.8976509587858919,0.10959732835769766,0.0293970005167
0.02,0.895322626706773,0.12194850259919543,0.0218190314312
0.025,0.8928277918804355,0.12245381275847751,0.017566283599
0.030000000000000006,0.891637063516202,0.12460473502798611,0.0147505879548
0.035,0.8911548020358987,0.12479706470941719,0.0119682760033
0.04,0.8909402845900166,0.12804076084608387,0.00908114895206
0.045,0.8900429815466361,0.12815988325455047,0.0101334750919
0.05,0.8888253572539537,0.12928278546609412,0.013588187712
0.05500000000000001,0.8870524438791777,0.1288647059899919,0.0169959565243
0.06000000000000001,0.8842632643099758,0.12680410988231114,0.020341256582
0.065,0.8815305920343164,0.12669881748375375,0.0239815139511
0.07,0.8782264534361568,0.1269436034387843,0.0276494874264
0.075,0.8747312581627197,0.12672941127646706,0.0312484688695
0.08,0.8707192402316394,0.12492232381621246,0.0343517594964
0.085,0.8671721308048231,0.12442766398781649,0.0372848340007
0.09,0.863262256643798,0.12332468289948734,0.0401460560925
0.095,0.8596136992357793,0.12206882676821662,0.0427450478428
0.1,0.8562715572503931,0.12242148375580061,0.0451993402039
