theta_it,FK,FKS,CLU
0.0,0.8892328698873514,0.12800735396146276,0.00943337674427
0.001,0.8892358861582066,0.1273035412273377,0.00867914078411
0.002,0.8895498911971851,0.12866931847865323,0.00809883779821
0.003,0.8894957743302742,0.12689845663107976,0.00742895444482
0.004,0.8898452328974186,0.12716696856308546,0.00639920401837
0.005,0.8905421510744495,0.12994530919683495,0.00640559499919
0.006,0.8908704274451733,0.12999553877795822,0.0066081401821
0.007000000000000001,0.8912323626082407,0.12921322663113202,0.00694482892002
0.008,0.8913107827757136,0.12908578930077216,0.00736908160291
0.009,0.8916350234143298,0.1287825083149172,0.00784945468664
0.01,0.891794138806282,0.12833467917159705,0.00824321176833
0.011,0.8918857673148767,0.12885531931540012,0.00861699995432
0.012,0.8919323154696553,0.12754235246582843,0.009131353293
0.013000000000000001,0.8920731891136696,0.12796384632808155,0.00941482667803
0.014000000000000002,0.8917459249131491,0.12617142118935856,0.00955140195371
0.015,0.8915267091631641,0.12489640487692188,0.0104045475022
0.016,0.8911091247372273,0.12340681464835604,0.0114468648141
0.017,0.8909274390074369,0.1219617921533716,0.0125083922402
0.018,0.8905244042781902,0.11924579923763738,0.0137265721194
0.019,0.8899561804779479,0.11769434542117134,0.0149067807445
0.02,0.889660660508108,0.11644473920878969,0.0159503339089
