theta_cp,FK,FKS,CLU
0.0,0.8901602236373034,0.12631233628039723,0.0100091768186
0.0025,0.890176479844691,0.12606251526706747,0.00999148113712
0.005,0.8902430276868106,0.12633266479501667,0.0099222671925
0.0075000000000000015,0.890550743172462,0.1279596424766333,0.00983698503068
0.01,0.8905884464573101,0.12801890458409526,0.00979002189721
0.0125,0.8906876208973649,0.1285470873383149,0.00977185484142
0.015000000000000003,0.8908612153275184,0.12918033765486422,0.00970159396405
0.0175,0.8908937677311688,0.1285747320372867,0.00956986227928
0.02,0.8909443716185702,0.12874531630470978,0.00940308374295
0.0225,0.890861819513173,0.12797642844583562,0.00926202966629
0.025,0.8909402845900166,0.12804076084608387,0.00908114895206
0.027500000000000004,0.890909059821157,0.1272249591527752,0.00898386256981
0.030000000000000006,0.8909510243379529,0.12756244483133525,0.00885657246409
0.0325,0.8908723519852595,0.12715691547746105,0.00869826353655
0.035,0.8910620405355418,0.12807960470376878,0.00846347934475
0.0375,0.8910064586271004,0.12898356285602053,0.00819879712797
0.04,0.8909794406284712,0.12860626965673574,0.00800010597096
0.0425,0.8909786210444873,0.1279258759528201,0.00759698431852
0.045,0.8908195320256459,0.12840992993052303,0.00711643825708
0.0475,0.8907603411574327,0.12937928291097903,0.0067473245825
0.05,0.8905421510744495,0.12994530919683495,0.00640559499919
