theta_it,FK,FKS,CLU
0.0,0.937838234982616,0.03992258574339215,0.0123385175094
0.001,0.937978311644963,0.04022522224455445,0.0123567974089
0.002,0.9381854520298258,0.0406588711323957,0.0123271905265
0.003,0.9383235950983696,0.04099747905522289,0.0123074145399
0.004,0.9384540463959526,0.04124883610463384,0.0122665194904
0.005,0.9387200031705026,0.04243632605389318,0.0122354124054
0.006,0.9388610934484829,0.042638120015940924,0.0122207678096
0.007000000000000001,0.939131310247113,0.04353273505235335,0.0121559275173
0.008,0.939294263733428,0.04438356737772657,0.0121234558076
0.009,0.9394593803988893,0.0447120888047077,0.0120518276451
0.01,0.9396874290172548,0.0456460805464235,0.0119819051077
0.011,0.9398769001117501,0.04673180414479402,0.0119262683631
0.012,0.9401139609824772,0.0475975504493458,0.0118217175373
0.013000000000000001,0.9402658277829531,0.04841210080317078,0.0117419063818
0.014000000000000002,0.9404817516860001,0.04962336855962962,0.0116224862886
0.015,0.9406243221224511,0.05065058360279466,0.0114821840467
0.016,0.9407969325278358,0.05127769401483166,0.011368146203
0.017,0.9408881896381528,0.05229641816399492,0.0112608204007
0.018,0.9409958956637604,0.0533262881521608,0.0111030932511
0.019,0.9411369953051221,0.053893090563520187,0.0109247602767
0.02,0.9411861732089614,0.054225481602652205,0.0110248958553
